LINK-USDT,4h,50,130,0.01,0.08,21600,-19.03,-22.21,17.95,-2.47
DOGE-USDT,4h,5,60,0.02,0.15,21600,-31.93,-33.30,34.66,-1.50
DOGE-USDT,4h,5,30,0.05,0.1,21600,14.30,-15.95,47.44,-0.42
BTC-USDT,4h,35,120,0.04,0.15,21600,0.04,0.00,50.00,-0.48
SOL-USDT,4h,20,80,0.1,0.02,21600,1.71,-12.46,52.13,0.95
SOL-USDT,1h,15,170,0.07,0.15,21600,-29.66,-37.70,48.28,0.07
ADA-USDT,4h,45,140,0.05,0.15,21600,4.75,-2.61,64.29,-0.39
ETH-USDT,1h,5,50,0.04,0.2,21600,-0.45,-4.97,40.74,-0.19
DOGE-USDT,1h,10,130,0.02,0.1,21600,4.38,-20.81,42.81,0.44
LINK-USDT,1h,30,190,0.04,0.15,21600,-11.62,-23.79,43.85,-0.79
XRP-USDT,4h,20,180,0.1,0.15,21600,-2.22,-4.10,50.00,-0.21
LINK-USDT,1h,20,180,0.07,0.15,21600,-26.36,-38.04,39.44,-0.53
DOGE-USDT,1h,35,150,0.1,0.02,21600,-12.57,-17.45,48.94,-0.65
XRP-USDT,4h,5,130,0.02,0.1,21600,5.85,-5.68,45.45,-0.67
SOL-USDT,4h,10,150,0.04,0.08,21600,12.84,-6.29,61.11,-0.05
ADA-USDT,1h,50,180,0.02,0.2,21600,2.16,-8.04,48.21,-0.72
DOGE-USDT,1h,5,120,0.07,0.1,21600,25.52,-21.03,50.00,1.51
LINK-USDT,1h,55,150,0.1,0.15,21600,-18.97,-29.77,41.67,-0.58
AVAX-USDT,4h,10,120,0.07,0.2,21600,14.14,-6.54,47.62,0.63
BTC-USDT,1h,55,110,0.05,0.05,21600,4.71,-2.34,61.11,1.64
SOL-USDT,1h,50,190,0.03,0.02,21600,-2.63,-12.84,38.68,-0.81
BTC-USDT,4h,5,60,0.1,0.08,21600,-3.27,-6.12,25.00,-1.42
DOGE-USDT,1h,30,140,0.05,0.05,21600,-0.35,-15.31,48.68,-0.58
ETH-USDT,1h,15,90,0.03,0.05,21600,1.81,-2.90,60.71,0.90
XRP-USDT,4h,25,90,0.02,0.08,21600,-2.05,-8.10,48.48,-0.03
AVAX-USDT,4h,10,170,0.1,0.15,21600,4.71,-7.42,48.00,-0.28
TRX-USDT,1h,10,50,0.05,0.2,21600,-13.44,-17.67,47.94,-0.51
ADA-USDT,4h,40,170,0.04,0.1,21600,-1.04,-7.04,60.00,-0.67
AVAX-USDT,4h,55,110,0.1,0.1,21600,3.65,-7.45,52.27,0.33
XRP-USDT,4h,10,160,0.01,0.15,21600,7.16,-4.93,41.56,0.38
BTC-USDT,1h,50,170,0.05,0.05,21600,0.80,-1.46,44.44,-0.40
AVAX-USDT,1h,20,110,0.03,0.02,21600,27.01,-17.80,57.87,0.86
XRP-USDT,4h,55,130,0.01,0.2,21600,-7.40,-15.15,32.31,-0.19
AVAX-USDT,1h,25,70,0.07,0.08,21600,1.17,-25.75,53.73,-0.57
TRX-USDT,1h,30,120,0.03,0.2,21600,-1.23,-7.06,54.66,-0.48
AVAX-USDT,1h,35,120,0.07,0.05,21600,-15.51,-20.15,50.00,-1.49
BTC-USDT,4h,5,160,0.1,0.1,21600,2.56,0.00,100.00,11.40
AVAX-USDT,4h,45,110,0.01,0.2,21600,17.31,-2.24,63.79,1.38
ADA-USDT,4h,55,130,0.05,0.05,21600,5.27,-5.09,60.71,1.83
DOGE-USDT,4h,40,160,0.01,0.15,21600,5.99,-2.31,50.00,0.37
BNB-USDT,1h,15,60,0.05,0.02,21600,4.13,-4.94,57.45,0.24
ETH-USDT,1h,15,60,0.07,0.2,21600,-0.56,-2.60,39.29,-1.23
SOL-USDT,4h,45,80,0.05,0.1,21600,-2.91,-11.24,40.00,-0.75
ADA-USDT,1h,50,180,0.04,0.05,21600,2.17,-14.33,48.18,-1.00
XRP-USDT,4h,25,150,0.01,0.15,21600,2.19,-6.60,36.76,-0.63
BNB-USDT,1h,30,150,0.02,0.05,21600,2.64,-4.85,40.00,1.49
LINK-USDT,1h,45,160,0.07,0.05,21600,5.82,-16.07,45.24,-0.59
